Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,4162163,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,456885,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,60601,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,166266,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,688,Serbia,SRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,283228385,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,688,Serbia,SRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,217143715,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,690,Seychelles,SYC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,11,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,530648717,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3962457,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1702770,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,27076584,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,688,Serbia,SRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,59757432,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,688,Serbia,SRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,231,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,690,Seychelles,SYC,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3694361,,,4
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,9339,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,55403,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,921,,,0
H5,2017,2017,2017,0,0,2,Export,20,Andorra,AND,688,Serbia,SRB,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,22,,,0
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,263754238,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,682,Saudi Arabia,SAU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,851848889,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,686,Senegal,SEN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1549560,,,4
