"","pays1","pays2","dist"
"136","Canada","West Bank",7250.81524423472
"137","Canada","Australia",10290.2845903372
"138","Canada","Papua New Guinea",9552.54220255171
"139","Canada","Saint-Barthelemy",2848.94823627694
"140","Canada","Cuba",2089.43288398422
"141","Canada","Antarctica",11861.398495653
"142","Canada","Lesotho",12079.3839378972
"143","Canada","Lake Fjerritslev",3998.63469320906
"144","Canada","Anguilla",2820.7307466623
"145","Canada","Nauru",8068.74057907568
"146","Canada","Saint Kitts",2907.34636335117
"147","Canada","Montserrat",2977.94331715134
"148","Canada","Greenland",786.501237870188
"149","Canada","Sardinia",4918.99504772878
"150","Canada","Iceland",2080.80772361667
"151","Canada","Sicily",5386.17661368315
"152","Canada","Sonsorol Island",9313.25608782448
"153","Canada","Maug Island",7194.88176851308
"154","Canada","Isle of Man",3305.12343679007
"155","Canada","Saint Eustatius",2895.62041431507
"156","Canada","Brunei",10026.7546875033
"157","Canada","Dominican Republic",2683.6596066345
"158","Canada","Haiti",2618.31454394225
"159","Canada","Ireland",3002.18977556208
"160","Canada","Nevis",2931.95144983139
"161","Canada","Madagascar",12058.624973188
"162","Canada","San Marino",4947.31986556439
"163","Canada","Sin Cowe Island",9550.43810644765
"164","Canada","Tobago",3598.13962362178
"165","Canada","Barbados",3404.3585500665
"166","Canada","Bahrain",8719.0925676052
"167","Canada","Grenada",3488.26955770247
"168","Canada","Jamaica",2662.58254531443
"169","Canada","Sri Lanka",10649.6491378848
"170","Canada","Barbuda",2884.91099715312
"171","Canada","Puerto Rico",2793.13900043422
"172","Canada","Cyprus",6872.63275813166
"173","Canada","Trinidad",3648.29072483624
"174","Canada","Saint Lucia",3298.62745836758
"175","Canada","Mauritius",13330.8139307575
"176","Canada","Saint Vincent",3366.0622443028
"177","Canada","Spratly Island",9795.38671325496
"178","Canada","Dominica",3116.25892764429
"179","Canada","Antigua",2943.06423221045
"180","Canada","Bonaire",3469.55604989483
"181","Canada","Aruba",3450.84197050868
"182","Canada","Martinique",3203.93655951351
"183","Canada","Isle of Wight",3657.07708611941
"184","Canada","Saint-Martin",2831.56986865808
"185","Canada","Curacao",3467.70096496472
"186","South Africa","Canada",11225.3501571242
"187","South Africa","Denmark",8753.65586546706
"188","South Africa","USSR",6967.93224457127
"189","South Africa","Pakistan",6190.79685060866
"190","South Africa","Aral Sea",7813.01842368665
"191","South Africa","Italy",6791.41559009727
"192","South Africa","Nicaragua",11577.3772521896
"193","South Africa","Netherlands",8430.18778861837
"194","South Africa","Caspian Sea",6863.74374720902
"195","South Africa","Mexico",12366.538123674
"196","South Africa","Iraq",5893.78608514453
"197","South Africa","Lake Malawi",997.515039355756
"198","South Africa","Ethiopia",2992.22193061957
"199","South Africa","USA",11675.6076315428
"200","South Africa","Mongolia",9612.49014093478
"201","South Africa","Switzerland",7831.65564065732
"202","South Africa","Cambodia",8686.9353808412
