Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,181501,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,689,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7296,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,581476,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,304033,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,298480,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,41,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,520,Nauru,NRU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,18680,,,0
H5,2017,2017,2017,0,0,1,Import,20,Andorra,AND,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2506,,,0
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,30210502,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,132685842,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,23247514,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,429684887,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,8169192,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7526249,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,520,Nauru,NRU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,6897639,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,520,Nauru,NRU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,31388097,,,4
H5,2017,2017,2017,0,0,1,Import,36,Australia,AUS,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,897,,,4
H5,2017,2017,2017,0,0,2,Export,36,Australia,AUS,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1667623,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,98714884,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,16495458,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3437046,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,5656530,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2097203,,,4
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,7015965,,,4
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,520,Nauru,NRU,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,36641,,,0
H5,2017,2017,2017,0,0,1,Import,40,Austria,AUT,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2429,,,0
H5,2017,2017,2017,0,0,2,Export,40,Austria,AUT,580,N. Mariana Isds,MNP,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,229918,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,442020,,,0
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1330,,,0
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,508,Mozambique,MOZ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1407,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,516,Namibia,NAM,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,37,,,0
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,138339468,,,0
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,104,Myanmar,MMR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,44734686,,,4
