Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,151916,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,12261110,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,685,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,364,Iran,IRN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2298475,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,368,Iraq,IRQ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,230707,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,368,Iraq,IRQ,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2393141,,,0
H5,2017,2017,2017,0,0,1,Import,8,Albania,ALB,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,38016447,,,0
H5,2017,2017,2017,0,0,2,Export,8,Albania,ALB,699,India,IND,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3445473,,,0
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,352,Iceland,ISL,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,561028,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,253311342,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,360,Indonesia,IDN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,301518727,,,4
